modelNames,state,modid,statename,e,p
threeStates,m1A,m1,A,-0.137,0.615
threeStates,m1F,m1,F,-0.238,0.082
threeStates,m2A,m2,A,-0.312,0.489
threeStates,m2F,m2,F,-0.127,0.364
threeStates,m3F,m3,F,-0.064,0.715
threeStates,m4A,m4,A,-0.498,0.031
threeStates,m4F,m4,F,-0.173,0.182
threeStates,m5F,m5,F,-0.208,0.089
threeStates,m6F,m6,F,-0.402,0.038
threeStates,m7A,m7,A,-0.475,0.011
threeStates,m7F,m7,F,-0.324,0.027
threeStates,m8A,m8,A,-0.36,0.291
threeStates,m8F,m8,F,-0.173,0.189
threeStates,m9A,m9,A,-0.523,0.237
threeStates,m9F,m9,F,-0.301,0.021
threeStates,m10A,m10,A,-1.016,0.227
threeStates,m10F,m10,F,0.254,0.042
sixStates,m1ASP,m1,ASP,-0.262,0.04
sixStates,m1ASF,m1,ASF,-0.506,0.001
sixStates,m3ASP,m3,ASP,-0.237,0.064
sixStates,m3ASF,m3,ASF,-0.395,0.018
sixStates,m4NS,m4,NS,-0.549,0.097
sixStates,m4AB,m4,AB,-0.359,0.157
sixStates,m5LS,m5,LS,-0.449,0.036
sixStates,m5NS,m5,NS,-0.211,0.426
sixStates,m5AB,m5,AB,-1.182,0.021
sixStates,m6ASF,m6,ASF,-0.191,0.408
sixStates,m6NS,m6,NS,-0.512,0.113
sixStates,m7ASF,m7,ASF,-0.364,0.005
sixStates,m7LS,m7,LS,-0.506,0.061
sixStates,m7NS,m7,NS,-0.794,0.029
sixStates,m7AB,m7,AB,-0.572,0.016
sixStates,m8ASP,m8,ASP,0.308,0.031
sixStates,m8LS,m8,LS,-0.22,0.333
sixStates,m8NS,m8,NS,-0.134,0.542
sixStates,m9ASP,m9,ASP,0.113,0.421
sixStates,m9ASF,m9,ASF,-0.138,0.35
sixStates,m9NS,m9,NS,-0.459,0.021
sixStates,m10ASP,m10,ASP,0.25,0.062
sixStates,m10NS,m10,NS,0.29,0.106
sixStates,m10AB,m10,AB,-1.246,0.109
nineStates,m1ASFN,m1,ASFN,-0.368,0.01
nineStates,m3ASFB,m3,ASFB,-0.63,0.009
nineStates,m3ASPB,m3,ASPB,-0.704,0.118
nineStates,m4NS,m4,NS,-0.533,0.077
nineStates,m4AB,m4,AB,-0.168,0.475
nineStates,m5LS,m5,LS,-0.449,0.025
nineStates,m5AB,m5,AB,-0.976,0.052
nineStates,m6NS,m6,NS,-0.327,0.278
nineStates,m7NS,m7,NS,-0.446,0.159
nineStates,m8ASPN,m8,ASPN,0.088,0.55
nineStates,m8ASFB,m8,ASFB,-0.554,0.106
nineStates,m8LS,m8,LS,-0.497,0.024
nineStates,m8BSPB,m8,BSPB,-0.328,0.046
nineStates,m8NS,m8,NS,-0.245,0.256
nineStates,m9ASFB,m9,ASFB,-1.133,0.001
nineStates,m9BSPB,m9,BSPB,-0.034,0.855
nineStates,m9NS,m9,NS,-0.214,0.261
nineStates,m10ASPN,m10,ASPN,0.185,0.164
nineStates,m10BSPB,m10,BSPB,-0.653,0
nineStates,m10AB,m10,AB,-1.345,0.074
